k_2,k_5,k_10
131752.77483553832,118708.23975159555,118888.74020189192
124411.32182426323,122497.91973127057,119989.24919403337
117293.97645423264,120973.4362199529,116843.27834880566
119658.87767553172,119424.00440346642,118360.69161303269
125863.64713229671,114048.843724946,117879.52772330369
122411.50154926529,116721.90464827768,118107.02480538841
125947.54160495359,118460.08311945855,119609.74635271524
118275.52692169668,124280.79948019993,117371.11444215341
128073.22706960182,122823.53901632983,118855.69970810141
127086.957116278,117615.49955920764,120515.74610936908
120290.38996452988,122606.97624742187,114593.32867704328
117561.82766254211,122348.14899583472,121662.42623558042
140042.5021527725,116963.38901988557,121132.27159105986
122876.67659993152,117995.65877101089,116734.16791540285
115395.52119671684,118483.45583135082,117288.19987631084
119965.22873030053,122407.1047008297,119119.02265610464
132831.3454670535,120012.86157735872,122788.21127208741
123950.198581617,120075.77084663602,118996.19184058072
121241.76660840836,115234.00063152672,117878.40384803084
114684.46064631842,114942.72384241936,115178.33670866123
119126.72667504539,121426.81854580808,118523.67993528217
129131.41270886367,118329.58496156738,123107.01433587859
145264.79689974966,120322.97902664114,120459.99558461971
121640.626976405,113917.65714169006,118603.26484983109
136178.9071566682,115867.80780200448,118743.00483361231
139446.83709673054,118487.29533169452,121062.7511415975
137575.04284519792,121658.72383564585,117636.54433964801
126021.54416655452,120012.01357693327,119244.05611532566
140991.28991452558,126801.67690916306,122054.08524831619
125965.64588280875,119616.6155825425,122766.84329814595
